,newDesk,commentBody
691,Dining,I admire you Eric. You once said your biggest challenge re your job is not getting plastered (I cleaned up what you said).<br/><br/>Unfortunately I have not mastered that.<br/><br/>Just give me a bottle of good inexpensive cheap wine like just about any red wine from Chile and I am happy.
692,Dining,"So nice to hear that the fine people from 360 have landed on their feet.  What a time it was.<br/><br/>I've yet to taste a natural wine I like, but my mind is still open.  So many so-called natural wines have tasted all-too-funky, as if the terroir were not a concept, but a scoop of soil added to the mix."
693,Dining,"Eric, you neglected to include the first pioneers in TriBeCa of curating ânaturalâ and organic wine - Chambers Street Wines. "
694,Dining,I am in complete agreement with Jorgeâs assessment regarding food/wine hangovers. Iâve been drinking low alcohol and low sulphur content natural wines for awhile now. I enjoy feeling better the next morning. Bravo!!
695,Dining,"I think you've inadvertently addressed Eric's uncle.<br/><br/>Otherwise, I'm not sure why a winemaker can't make wines the way he or she wants to and not be called names or considered relic.  There are a lot of very high-end furniture makers still working largely by hand, with machine intervention at only the very low level stages of preparing the wood.  I see nothing different with this particular approach to wine.  I think it's refreshing, frankly, if for nothing more than a lower level of alcohol a lot of these wines have which to my palate makes them more food-friendly."
696,Express,"It is 100% on the police to have handled this situation better than they did. The barista who made the call could have made it for a number of reasons: it's entirely possible that a customer demanded the action. But even if the barista WAS making a decision derived from racial bias, it was on the police to have handled the situation better. Starbucks did not make the decision to arrest those men. The police did and they should be held accountable."
697,Express,"The more I ponder this, this angrier I get. Black people are incarcerated at a ten times the rate of white people. Unarmed black people are routinely shot and killed by police who are only rarely held accountable for their unjustified and unjust homicides. But two provocateurs get tossed out of a Starbucks and we go apoplectic over man's inhumanity to man? That's enough to make me ashamed to be white."
698,Express,"Police exists to make society uneventful, that is what I believe must be their duty. But I know they sometimes do the opposite to promote their agendas or their employer's. (In the case of my country they arrest people who are against the government for minor infractions like trespassing.) But in this case I cannot understand what the police's motivation is. Did they just want to show they were not lazy by making an event? Or their racism or emotion rising from race is just so strong that they are just carried away."
699,Express,"Starbuck's environment is to blame. Whenever I went into a Starbucks on my own it was to use the rest room or to get warm during the winter and perhaps sit down - of course I would order a beverage. But here is the rub about Starbucks: it forster's an environment that encourages people to sit all day nursing an empty cup of coffee and there is rarely an available seat because of it. Most folks do meet others for business such as the men in this story and I never seen folks challenged to buy something etc. Their story is plausible and the police seemed just concerned with their removal. Starbuck encourages it's patrons to lounge about so why not these 2 men - singling them out? Also these two men, why didn't one of them by a beverage - are they moochers? I think all 3 parties were at fault.  "
700,Express,"I am a white middle aged female runner in NYC.  When I go for long runs, I often stop at a Starbucks store when I need to use the restroom -- alone or with fellow runners -- and ask if I can use it. I have never been turned down; I have never been asked if I plan to purchase anything; store employees have never called the police and I have never been arrested. You think maybe my race, gender and age have anything to do with that? "
701,Express,"I recommend that everybody's take the Harvard implicit association test <a href=""https://implicit.harvard.edu/implicit/"" title=""https://implicit.harvard.edu/implicit/"" target=""_blank"">https://implicit.harvard.edu/implicit/</a> and read the book blindspot. <a href=""http://blindspot.fas.harvard.edu/Book"" title=""http://blindspot.fas.harvard.edu/Book"" target=""_blank"">http://blindspot.fas.harvard.edu/Book</a>. You might be surprised by the results."
702,Express,"On the one hand the two men should have ordered something while they waited.   Starbucks, Panero Bread and others are quite generous with their premises and ordering something is just a common courtesy. On the other hand it was stupid and reckless to call the police.  Sadly, it is hard to escape the conclusion that if two white men had sat down and waited there would have been no incident.   However, for me this is a case of two wrongs in that no one seemed to have done anything that would have defused the situation and now we have a national controversy and a holy war inspired by the lack of a cup of coffee,  "
703,Express,"Female manager probably felt threatened or it was, in fact, Starbucks policy--why she wasn't fired but moved.  <br/><br/>But that aside, what are restaurant owners to do when people off the street want to use the facilities for free and hang out buying nothing, taking a paying table off the floor?  <br/><br/>In Europe, they are asked once, sometimes politely, and then the police are called--especially in Paris."
704,Express,"Howard Schulz, who founded Starbucks, postures as a liberal, hip guy. Not true! Starbucks is a nasty outfit. Its marketing has convinced working class folk, esepcially women, to load up on 500 - 600 calorie drinks thus contributing to the obesity epidemic. Besides,  just think: a $5.00 sweet drink (w/whipped cream) and a doughnut all for $7 for people who are earning $10 per hr. Huh!! Furthermore, Starbuck serves up lousy coffee. They buy cheap beans and then burn them. The regular coffees taste like tar. Starbucks is just another nasty chain store pretending to be cool."
705,Express,Disgruntled employee who hates working there decides to get the store in trouble by making an unwarranted call.  5 minutes is the standard wait time. Everyone in the biz knows that.
706,Express,"I don't believe their ""two minutes"" claim, and I don't believe they didn't know why they were being handcuffed. Trespassing is against the law. If you refuse to leave someone else's property, you ARE trespassing, and trespassing IS against the law. Starbucks could have pressed charges, but declined to. "
707,Express,Kudos and thanks to these two young men. I feel their message is so much stronger because they didn't resist the officers. What happened to them is despicable. They provided the best example of how to deal with an unjust situation. May we all learn from their example!
708,Express,"1) What was the crime?<br/>2) You can arrest without it?<br/>3) When Police arrived, why didn't Manager just tell them<br/>     to leave.(still wrong, but better)<br/>4) On what basis did Police arrest?<br/>5) Starbucks Training tip of iceberg........"
709,Express,"Iâm white, live in Philly and once sat in a Starbucks (not that one but close by) with another white person and talked for an hour without ordering a drink or food. No one seemed to care. Certainly no one called the police. "
710,Express,"I've had many meetings at Starbucks where I didn't order anything. I can't remember whether others meeting with me ordered, but it's Starbucks policy to encourage meetings. There aren't any rules about ordering that I know of. In fact, I'm surprised that a Starbucks employee approached the men, as the baristas are completely occupied behind the counter in any Starbucks I've visited. This seems like unusual attention to me."
711,Express,Why couldn't they just order something? 
712,Express,"Two things need to stop happening: 1. People being judged by the color of their skin. 2. People believing you're going to be killed by the police because of the color of their skin, and that it's common. Here's the math:<br/><br/>2,197,140 black arrests divided by 223 fatal police shootings = 1 police killing per 9,850 arrests for blacks<br/><br/>5,753,212 white and Hispanic arrests divided by 636 fatal police shootings = 1 killing per 9,050 arrests for whites and Hispanics<br/><br/>I say this because the two black individuals said they were scared they may be killed. From a USA Today story: Robinson said he thought about his loved ones and how the afternoon had taken such a turn as he was taken to jail. Nelson wondered if heâd make it home alive. âAnytime Iâm encountered by cops, I can honestly say itâs a thought that runs through my mind,â Nelson said. âYou never know whatâs going to happen.â<br/><br/>Shooting Source: <a href=""https://www.washingtonpost.com/graphics/national/police-shootings-2017/"" title=""https://www.washingtonpost.com/graphics/national/police-shootings-2017/"" target=""_blank"">https://www.washingtonpost.com/graphics/national/police-shootings-2017/</a><br/>FBI Data arrests:<br/><a href=""https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-43"" title=""https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-43"" target=""_blank"">https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/...</a>"
713,Express,"I shop for books at Goodwill. The store has recently begun locking the restrooms because local drunks used the facilities to relieve themselves.  Afterwards, they would very aggressively pester shoppers for ""bus fare"".   None of these drunks were black or brown, so ""racial profiling"" may be an extreme interpretation in this case.  On the other hand, improved communication would have helped, especially before calling the police.  "
714,Express,I am imagining how terrified I would feel if two police handcuffed me and led me away for really doing nothing.  Just sitting in a coffee shop.  Absolutely terrifying.  In that moment you are completely vulnerable and helpless.  Can you rely on the people nearby to speak up on your behalf?  Probably not.  People think that as soon as police put cuffs on you you MUST be tainted with guilt somehow.   Didn't ANYONE speak on behalf of these two men in the moment?  Appalling.
715,Express,I thought restaurants could control their premises and restrict their use to paying customers. When did Starbucks become a public space?
716,Express,The Police Officers should be fired. They behaved so much like Boston Cops the resemblance is uncanny.  I hope the young men file law suits against everyone concerned. 
717,Express,"It happened in two minutes? Wow. I had the impression that they had been there a while. Two minutes to tell them to leave and call the police is racism, pure and simple. "
718,Express,"""The manager approached, asked them if they wanted to order drinks. They declined.""<br/><br/>There's a word for people like this, whether they be black, white, or Asian: schnorrer. That is Yiddish for sponger or mooch. I don't go into Starbucks or coffee shops unless I am going to order something. In New York City, there's a big problem with old people taking over tables in various McDonald's for hours at a time, playing cards with their cronies but not buying anything. Hit the bricks, freeloaders! I don't care what color your skin is: if you want to sit at a table, pony up."
719,Express,"A complete and total lack of common sense.  First, by the Starbucks employee.  But, ESPECIALLY by the Police.  No matter how they try to spin it, those Cops were acting as private security, for a bubblehead.  Period.<br/>  DO BETTER.  Please."
720,Express,"None of this makes sense, unless the two men said something aggressive to the manager upon being denied use of the bathroom. Replay the reported events in your mind. Now, imagine they said something nasty when denied use. Now, everything else makes sense. granted, my scenario is hypothetical, because we don't know, but my version (in which the two men say something aggressive) makes complete sense. <br/><br/>If these two men cursed the manager, everything else makes complete sense, as it went down. <br/><br/>Nobody, as far as I know, has asked one single question about the verbal exchange between them and the manager. Interviewers seem to be avoiding the topic. "
721,Express,"While it's appalling that the police were called and these men arrested for nothing, they should have known that you can just sit at a table ANYWHERE and use the restroom but not order anything...if they were Caucasians, the staff would have ask ed them to leave (but sans calling the cops)."
722,Express,"It's great that Starbucks has apologized and is going to do a training, but there are other problems with Starbucks. My suggestion is to never patronize Starbucks unless you happen to live in Seattle --- and always always always support locally-owned establishments. "
723,Express,"How many white people have gone into a Starbucks for hours and sat working on their laptops, and used the restroom, gotten a water cup, and only MAYBE spent a couple bucks? How many white people have gone into bookstores, sat in their chairs, looked at their books and magazines, used their restrooms, and never purchased one thing. And how many of those white people would consider what they did trespassing or criminal in any way?<br/><br/>And this story is not just about Starbucks. The Philadelphia Police Department had a true opportunity here to be part of the solution. Instead they went along with the same old routine. There needs to be outrage and a change in the police response to such an incident. The police are not personal security officers for the ignorant, prejudice or racist. They have a responsibility to use their heads and sound judgment and know when a situation does NOT warrant handcuffs. <br/><br/>For the record, I am white, and I know this all needs to stop. More people and institutions need to be part of the solution, and the first step is to recognize there's a problem. Wake up to the problem, so we can all come together for a solution where EVERYONE can enjoy a visit to Starbucks, or the bookstore, or any place. "
724,Express,"âAnytime Iâm encountered by cops, I can honestly say itâs a thought that runs through my mind,â he said. âYou never know whatâs going to happen.â<br/><br/>So you defy them and increase the risk of a violent confrontation? These guys made a bad situation worse. Non-story. "
725,Express,Who ever said anyone has that right? Is a private business responsible for creating public spaces? No. That has never been the deal â for any race. A shop is not a municipal park or library. 
726,Express,"JaneR,<br/><br/>TWO MINUTES."
727,Express,"Can't be sure, the show is over, and the topic of race was avoided. I am wishing that police treat folks in their areas as Sheriff Taylor did for the Mayberrians. Is there a better example to use for this point?"
728,Express,"Ok dirty white guy, you can take a bath and clean up and not be judged by your appearance.<br/>These guys were neatly dressed black guys; they can't do anything to stop being black, and (pre)judged for it, even for a day.<br/>So I suggest you are showing your white privilege, and yes your prejudice, to try to draw a parallel between these circumstance. Walk a mile in these black guys shoes..."
729,Express,"If you were younger or blonder, I bet they would let you use the restroom. Age bias is real sis."
730,Express,"Why can't these guys use their words? Why do we have to assume that they were going to buy something when they could have easily said they were going to??<br/><br/>Yes, this situation was handled poorly, but on BOTH SIDES."
731,Express,"She wasn't fired - she and Starbucks came to a 'mutual agreement' that she not work there anymore.<br/><br/>Why do you assume anyone wants to 'do [something] to her'??<br/><br/>It would be helpful to see if this is a part of a larger pattern. On whom does this manager or this Starbucks call for emergency assistance from the police in such a casual manner. If you listen to the 911 call, the manager seems fairly nonchalant.  <br/><br/>Calling 911 seems like it should be saved for emergencies.<br/><br/><a href=""http://www.dailymail.co.uk/news/article-5627691/Starbucks-manager-called-cops-black-men-faces-new-race-claims.html"" title=""http://www.dailymail.co.uk/news/article-5627691/Starbucks-manager-called-cops-black-men-faces-new-race-claims.html"" target=""_blank"">http://www.dailymail.co.uk/news/article-5627691/Starbucks-manager-called...</a>"
732,Express,"Sure they can. If they want to bar non-paying customers they can absolutely do that. If they want to bar only non-paying customers who are blacks, well, then that's a problem, and that seems to be what happened here."
733,Express,"The consequence is that you could lose your life, even if the order by the police officer was unlawful. This is the reality of black men."
734,Express,They were there for two minutes and the friend arrived as they were being arrested.  The point is no white person would ever have been asked to leave or arrested. B
735,Express,"I am a 71year old white woman. I have used many Starbucks bathrooms over the years. Sometimes I walked in, used the bathroom and left. Sometimes, I came out of the bathroom, waited for a friend and ordered after my friend arrived. I have never been questioned, stopped, or given a dirty look. I don't feel quilty about using a Starbucks toilet without buying anything. It's a public place. If you had an older woman's bladder, you'd understand. But why shouldn't a young black man be treated with the same respect accorded an older white woman."
736,Express,"Yes, the employee should be fired. Living in the U.S. means you should know some basic rules, both legal and human, about racial equality. If the manager told the employee to ask the 2 men to leave, the employee should have refused to do so and reported the manager. "
737,Express,"Finally!!  Someone published how long these men were in the store before the staff decided to call law enforcement. Two minutes?  It only took a week for that information to become available.  And you are right, that really says it all about what happened.  I have worked in the service industry and 2 minutes is not loitering.  In that situation it would have been really simple for the staff to simply check the clock and if these guys were still taking up space say 20 minutes later, ask them to wait outside.  Seats are for paying customers after all.  A little patience and none of this would have happened."
738,Express,Philadelphia a liberal town though.
739,Express,"Take another look at the video -- the police were not both white. The problem is not at all unrelated to racial bias, it happened because of racial bias on the part of the store employee who decided the police needed to step in and handle a ""situation"" that didn't exist. Think about it a moment. Why was their explanation rejected? Would your explanation be rejected in a similar situation? I know mine would not, no matter how I was dressed, because I'm a middle aged white woman."
740,Express,I think Starbucks has responded.  The two employees who were responsible no longer work for Starbucks.  
741,Express,"I love Pogo, sir, but in this case, you are not right. Implicit bias training can indeed make people more aware of the thought processes that go into the way we evaluate others ""at first sight"". It's not a quick fix, and it can't immediately eliminate bias. It's not designed for that. Bias can only be eliminated after it's been recognized. Implicit bias training helps with recognizing those biases and being aware of them. Wherever that store manager has gone to, I hope she gets some of this type of training. She needs it!"
742,Express,And the Philadelphia police are nothing compared to the liberties taken by ICE.
743,Express,"That's rude.  My five dollar latte is buying your free soap, towels and cleaning time.  Not to mention the promise I will wait in line for you to come out.  Buy the kids a hot chocolate.  Exercise some respect.  If I leave my Starbucks stops, it will be because by 'business' is not their priority.  And your lack of respect is."
744,Express,Interesting that no one seems to look at the fact that one of these two guys bullied at least one other customer and behaved disrespectful and some might even say racist. The Video of that is on YouTube just look for it. And no it's no racism if someone who doesn't behave is asked to leave a private store and if that person doesn't leave the police has to do their job.<br/><br/> If you have a meeting which is apparently that important just follow the policy of the company and get something to drink or eat instead of bullying other ppl. and then playing the victim and refusing to take responsibility for your own actions
745,Express,"Its interesting that you label, scapegoat, paint with a broad brush with the term ""snowflakeism"" just like you blame this on the behavior of the 2 men ... much more complex than that psychologically and sociologically ... its clear what your automatic thinking is ..."
746,Express,"Every time I read about the experience these two men had, I find tears in my eyes. They literally did *nothing* wrong, except be the wrong color (and, arguably, combination of color and gender). As a middle-aged white woman I can't tell you the number of times I've gone into Starbucks, sat down, fiddled with a laptop, checked my phone messages, and then, a few minutes later, got up and gone to the counter to order. Or the number of times I've arranged to meet someone at Starbucks to complete a Craigslist transaction, and never ordered anything at all. (It's a safe, neutral, businesslike space, perfect for that kind of thing.) As a middle-aged white woman I had zero fear -- then or now -- that doing any of these things without walking up to the counter to order something would lead to any kind of confrontation with, or even approach to me by, a manager. I am so glad that their friend came in when he did, and that that other middle aged white woman (yay us, ha ha) took that video and posted it for the world to see. And I am grateful to Starbucks for treating this with real importance, and shutting down their stores a full day for mandatory implicit bias training. Way to step up and show other corporations how anti-bias work is done, Starbucks."
747,Well,People need to remind these children throughout their life through adulthood need to learn about personal space and what's right and wrong to do and to always ask for consent no matter what.
748,Well,"Back in the 50's there was little harrasment of our young ladies, we were taught to treat them with respect, and did!  I suspect that the ""Hippy"" revolution and the subsequent and continuing push for Female Equality, has taken womanhood off of any pedestal and, of their own volition, put them in the same arena with men, where aggressive competitiveness is an imperative, for which most females are ill prepared, as of yet, to deal with effectively!"
749,Arts&Leisure,Congratulations on winning the award and getting the film done.  What an achievement!<br/><br/>Will you release it to wider audiences?
750,Arts&Leisure,"I'm an American living in South Africa and I hope this film is shown here. There is a lot of ""Nollywood"" on TV here so there should be an audience. I really look forward to seeing this and I'm glad there was a story about the film. The more publicity, the better!"
751,Arts&Leisure,I've had the experience of having an idea and then actually having the money dropped on my head. Every single undefined detail becomes crucial and sleep become troubled to the same extent.<br/>And I did my project in a familiar environment.<br/>Best of luck to Mr. Okoro and I'd love to buy something as a souvenir that would support his project.
752,Arts&Leisure,"Congratulations to Mr. Okoro for winning the award, for successfully finishing his first feature film and for transporting Americans to Africa, something rarely done without animals or Tarzan incorporated.  It was through books by authors like Chimamanda Ngozie Adichie, Imbolo Mbue, and Okey Ndibe that I came to better understand modern day Africa which for me, an African American, was necessary to better understand the world of my ancestors and how it is that I differ so greatly from other Americans. Can't wait to see Nigerian Prince."
753,RealEstate,"If it really is what is happening, this is pretty good news. It is a sign that things are working as they should: developers build to cater to the most profitable market (high-end apartments), until there is not enough demand at the crazy levels of rent that we are seeing today. As a result, landlords have to entice renters with lower prices, which should have a ripple effect on the rest of the market (since high-earners renting these luxury places wonât compete with lower-earners for older places of lower quality).<br/><br/>Ideally, this would be the moment where our deciders start encouraging development of more free-market apartments, by easing zoning laws, freeing up land, approving large development projects, and why not by launching its own projects. By showing that everything will be done to keep prices on a downward trajectory, many people will stop using property as piggy banks to be bought at any price, creating a virtuous circle. And who knows, maybe in a couple of years New Yorkers will stop moving further and further from their work, living in smaller and smaller apartments of declining quality."
754,SundayBusiness,"International organizations like IMF and World Bank look at economies on a macro level. Perhaps due to their inability to sound the alarm bells prior to 2008, this time they want to cover their arse to throw everything out there, JUST SO they can tell anyone who care to listen that ""don't say we didn't warn you.""<br/><br/>Yes, I see warnings, but not so much of the reasons that IMF or World Bank has listed.<br/><br/>Trade wars? Blah. For all the rah-rah from Trump, this guy can't stomach any voters revolt (more specifically, the voters who voted for him), those like farmers and workers. Mark my words, he's going to backpedal, big time, just like he did with the tariffs on steel, with so many exemptions to the big exporters to US that it really doesn't matter. (China is really become a minority player in our steel imports in recent years that tariffs would barely a scratch.)<br/><br/>China will feel the hurt, but its market has become so big now that it will survive. Beijing will also throw in all its weight to support normalcy, given its large reserve and certain insularity from external shock with limited trading of RMB.<br/><br/>What is really worrisome, is the fission on a micro-level in so many countries. The top 10-20% globally are all doing very well, but that leaves large majority of world population struggling to survive and remain unproductive. Remember how Hitler got his rise and started WWII? Bad economy and struggling citizenry.<br/><br/>Live, and let live. We are all better served to remember that."
755,SundayBusiness,"I want to add to my post that I just made, printed below:  Example:  I received a job promotion that was supposed to definitely take effect in January 2017.  That is over a year ago.  Believe me, I know it is past due, because every day I recognize that I am:  ""not in position"", like I am supposed to be.  This is a problem, because this position is very ""high-up"".  In fact it is referred to as:  #1.  I think the last #1, has already left the building, and has started his Baby Boomer vacation bucket list to do items.... that are long overdue.  I am Generation X.  I know that things are not ""in order"" because, still today, I am ""out of place"".  I am not formally in position.  It isn't that I lose the #1 position because I am not there, it is more like, things get worse for others, until I am formally in position as the new #1.  "
756,SundayBusiness,No mention of the environment or finite natural resources. I'd have to conclude that economists aren't particularly farsighted either.
757,SundayBusiness,âThe present good times will not last for long...â <br/><br/>Perhaps. What is absolutely certain is that there's never been a year in recorded history when that statement hasn't been made.
758,SundayBusiness,"Economists living up to their fieldâs reputation as the dismal science? Get real. First of all, economics is not a science and is highly subjective. Secondly, if it were science, it would take into account sociopolitical and environmental factors, such as declining natural resources, climate change, and overpoplulation, none of which are even considered or mentioned in this article. Most economists are amazingly ignorant about the connection between the economy and the environment and are just too arrogant and narrow minded to worry about it. It's high time that the study of economics be redefined and expanded to look more realistically at the relationships between society and the environment, and to address how economic growth and the conventional modern definition of a thriving economy is often at odds with a healthy planet and the well being of its human and nonhuman inhabitants."
759,SundayBusiness,"Persistent trade imbalances and the profligate public debt of the United States are the kind of deadly serious problems that set the stage for a retreat from rationally informed actions and reactions toward an almost inevitable viscerally guided confrontation.<br/><br/>Germany wrapped itself in the Euro, protecting themselves from currency exchange rate adjustments.<br/><br/>China is acting so badly on so many vectors that it's mind-numbing to list them, but epic currency manipulation is right at the tops of that list.<br/><br/>Japan has the huge problem of a shrinking and population whose cost of care the rest of the world is simply going to have to get used to paying.<br/><br/>The US is being driven into the ditch by an unholy alliance of pandering politicians and feckless citizens who conspire to keep in office only those who will vote endless entitlements while passing the cost to future generations.<br/><br/>Free and fair trade would solve a lot of this, but nobody is willing to actually go there.<br/><br/>What a great world we live in!"
760,SundayBusiness,The US also could mandate balanced trade. Exporters could be granted $ credits that importers must buy on a regulated exchange before releasing equivalent $ to pay for imports. This once was proposed by Warren Buffett and almost made it through Congress until killed by special interest lobbyists.  Fact!
761,SundayBusiness,"There is no such thing as ""the economy."" It's long been described as though it is a common good, but that assumption is being shattered with transparency.  Whose economy, which economy, who benefits, who does not?  Those issues can't be glossed over as easily by describing something that is so fundamentally political as though it is not. We make a serious intellectual mistake when the discipline of political economy was bifurcated into two disciplines that are largely ignorant about each other.  As one Texas legislator once proudly announced, ""In this game there are winners and losers, and we get to decide who they are."""
762,SundayBusiness,"Why are world leaders so gloomy?  Many of them are intelligent and realize that the majority is often wrong, dooming the future of democracy.  The key example is population growth.  A book, Limits to Growth, was published in 1972, which gave several possible scenarios for the future of life on planet earth if population continued to grow.  China took the book seriously.  In 1979, China introduced a one-child program to limit population growth.  Americans for the most part held the book up for ridicule.  Those who warned that population growth couldn't continue forever were ridiculed as crackpots.  So nothing was done.  World population has doubled since 1972.  One of the consequences is global warming, and that has the attention of scientists.  But amazingly nobody seems to notice the impact that population growth has on global warming.  So now we are beginning to see other consequences.  The UN estimates that 800 million people worldwide suffer from chronic malnutrition.  Shortages are causing tremendous suffering in third world countries.  And in the US living standards for the poor are falling and the gap between rich and poor is increasing.  The US cannot afford universal health care, yet sanctuary cities attract unending streams of illegal immigrants.  Nobody can talk about the consequences without being called a racist.  So politicians tell little white lies, and democracy all form and no substance.<br/><br/>We need an end to illegal immigration and smaller family sizes."
763,SundayBusiness,"Ouch!  The last para really hurts.  <br/><br/>Neil, what you have (very cogently and correctly) said before it is that the US in particular has burned its raincoat, thrown away its umbrella, and with the recent tax cut is in the process of removing the roof so that all the sunshine can come pouring in.<br/><br/>Maybe one of the things that worries those dismal-science practitioners is the complete irresponsibility of both the Executive and the Legislative branch of the government of the largest economy, and guardian (sic) of the reserve currency, of the world?"
764,SundayBusiness,"Oil, natural gas, basic minerals, clean water are all becoming harder to get and more expensive.  Overpopulation, greater wealth in fewer hands, corrupt governments, fascism rising, air pollution, global warming........it doesn't take a PhD to figure out this can't continue for much longer without dire consequences."
765,SundayBusiness,"Its important to remember that a sovereign (central bank and Treasury) can never run out of money.  So any economic shock can be immediately counteracted by an increase in fiscal spending to make it a 4 day news cycle.  The solution is a Job Gty as part of a Full Employment Fiscal Policy.  See the blurb:  <a href=""http://mmt-inbulletpoints.blogspot.com/2018/04/the-kids-are-not-alright-truth-about.html"" title=""http://mmt-inbulletpoints.blogspot.com/2018/04/the-kids-are-not-alright-truth-about.html"" target=""_blank"">http://mmt-inbulletpoints.blogspot.com/2018/04/the-kids-are-not-alright-...</a>  "
766,SundayBusiness,"Economists thrive on pure doom.<br/>Disaster to them is perfume.<br/>They love to predict<br/>Financial conflict,<br/>And pull up their stats from the tomb."
767,SundayBusiness,"I'm 90% cash.  A big break is coming.  Wall Street sociopaths are playing chicken to get the last dollar of returns, and as the robber barons of the past always said - only a fool stays in for the last dollar."
768,SundayBusiness,"In all, the Trumpite/GOP has pushed the coming year's borrowing requirement toward $1.2 trillion.This means, in turn, that the bond pits will be flooded with $1.8 trillion of ""homeless"" treasury paper after accounting for $600 billion of the Fed's QT bond-dumping program.<br/><br/>Here's the thing. No one has ever tried---or even contemplated---financing $1.8 trillion or 8.8% of GDP at the tippy-top of a business cycle that will enter record territory (124 months) before FY 2019 is over.<br/><br/>Indeed, the very idea of it is pure madness and it will shatter the entire Bubble Finance order before it is done.<br/><br/>So what looms just ahead is a flood of government paper into the bond pits which will be 9X bigger(relative to GDP) than was the case at the last cycle peak on the eve of the financial crisis.<br/><br/>Besides, the Chinese were still buying Treasury paper hand-over-fist back then. By contrast, among the many wars the Donald has on his mind is the trade war with the Red Ponzi that has now gone into full tit-for-tat. This week has already generated a 179% Chinese levy on US sorghum and a pending US levy on steel automotive wheels, and apparently they are just getting warmed up.<br/><br/>The same is true of the eurozone.<br/><br/>The $1.8 trillion of homeless US treasury paper in the bond pits is not an aberration and it's not isolated. After the worldwide central bank money printing binge of the last decade, which t0ok combined balance sheets from $5 trillion to $22 trillion, it's a universal condition."
769,SundayBusiness,"We should all be gloomy.  Climate change.  Mass extinction.<br/><br/>10,000,000,000 people by 2050.<br/><br/>We waste resources like we have a spare Earth in our back pocket.<br/><br/>We are all running, blind folded and humming a stupid song, towards a cliff."
770,SundayBusiness,To answer your headline in one word..... income inequality. 
771,SundayBusiness,"What a wonderful economy!  In the U.S. 40 million people live in poverty.  How much better than that can it get?<br/><br/>It seems like the author, the World Bank and the IMF use economic metrics that measure everything but what happens in non-rich people's lives."
772,SundayBusiness,"The wealth of the world is an illusion, it is all debt. How much corporate debt is there, more than 2007. How much government debt is there, a lot more than 2007. How much private debt is there, very much more than 2007. How much job security is there, a lot less than 2007. The central banks have created a bubble, a much bigger bubble than 2007. Hoping I survive when, not if, it pops."
773,SundayBusiness,"Folks need to understand that every year of economic  growth brings less forests, less fish in the ocean, poorer quality oil to extract, depleted soil, more mouths to feed.     Not to mention more crowded and paved over cities that magnify the effect of natural disasters. This all has a way of constraining growth. "
774,SundayBusiness,"Even if I understood all the economic complexities, what could I do about it? Does this current information tell me whether I should make a big purchase or start a new small business concern or wait? I might as well study the Book of Revelation or again seek out the esoteric counsels of my corner fortune-teller, who sees dark clouds in my future btw."
775,SundayBusiness,Policimakers have to look ALWAYS gloomy in order to have peopleâs attention. The same with media.
776,SundayBusiness,"the so called ""middle class"" is all but extinct as the rich get richer and the poor are fed a false hope"
777,SundayBusiness,"I can tell you why I would be gloomy:  It is because the leader of the world's largest economy is a loose cannon.  He zigs, then he zags, then he lies and then lies about his lies.  How are the world economies supposed to plan when there is chaos at the top of our political and economic structure?<br/>I would be asking:  America what have you done?  When is it going to stop?  You are not only damaging yourself, you are hurting the rest of us as well."
778,SundayBusiness,"They are nervous because they realize wealth of the world in a few hands is disastrous long term for the world economy. Especially, when it is being driven by corrupt leaders who are trying to shift towards dictatorships. We already know where this is going when it is revealed it is another ponzi scheme. The only hope is that this time the people will not fall for it and bail out the wealthy again."
779,SundayBusiness,I'd add aging demographics in the developed countries as a major biggie.
780,SundayBusiness,"Two things to remember when considering the so-called ""gloomy"" outlook:<br/>1. Paul Samuelson's observation that ""Economists have correctly forecast nine of the last five recessions"".<br/>2. Lagarde and Obstfeld have long been negative about the world's economic outlook. Why should they change now?"
781,SundayBusiness,"Corkey, M., and Cowley, S.  Household debt makes a comeback in the US.  New York Times, 17 May 2017."
782,SundayBusiness,You nailed it.
783,SundayBusiness,"Sheesh! Talk about ""gloomy"" - Fisrst we must rescue our democracy from Trump and the Republican majority."
784,SundayBusiness,"I basically agree you.  Sometimes I do wonder about this idea of the new bubble, or what some people call ""the asset bubble of every asset."" Consider this:  I'm in a very high priced area of the SF Bay Area.  And yet my allegedly over-inflated home has only gone up about 3% per year over the last 20 years.  Granted, that's largely because of the 2007/08 real estate melt down.  But a bunch of my stocks are similar.  But even if you are wrong about the ""biggest bubble in history"" there is no doubt you are correct about fanning the flames of already ridiculously extreme and harmful income and asset inequality."
785,SundayBusiness,"Maybe true in the very long term, but in the past 20 years an enormous segment of the global population has risen out of poverty (giving them increasing ability to buy stuff), and that trend is ongoing led by countries in Asia and, more recently, Africa.<br/><br/>I think trends such as stagnant wages for middle class and poor people that are present in the US are absent on average when you consider the global population."
